HH Size,HH Income,Mean HH Age,Rent,Latest Subsidy,First Subsidy,Late Fees?,Military,Disability,PrimaryIncome,Negative,Validation Stratified by Negative
2,25004,23.37,650,0,0,Y,NA,NA,F,0,Training
1,9300,60.65,395,0,0,Y,NA,NA,NA,0,Training
2,28800,35.44,1200,0,0,N,NA,NA,NA,0,Training
2,20252,35.94,622,0,0,Y,NA,NA,F,0,Training
4,10293,18.81,555,0,0,Y,NA,NA,W,0,Training
1,13080,,545,0,0,N,NA,NA,NA,0,Training
1,0,45.4,50,486,0,N,NA,NA,NA,0,Training
1,35000,42.67,900,0,0,N,NA,NA,NA,0,Training
1,18312,,763,395.15,466.7,N,NA,NA,NA,0,Training
1,1104,46.07,683,683,650,N,No,NA,G,0,Training
1,3770,26.96,635,481,472,Y,NA,NA,W,0,Training
4,10868,27.29,1282,839,886,Y,No,NA,G,0,Training
2,48000,42.56,1039,0,0,N,NA,NA,NA,0,Training
1,11426,59.36,546,0,0,N,Yes,NA,SS,0,Training
2,39752,18.52,875,0,0,N,NA,NA,W,0,Training
3,0,24.95,885,971,683,N,NA,NA,NA,0,Training
1,15600,55.46,426,0,0,Y,NA,NA,W,0,Training
1,10853,66.38,566,0,0,N,NA,NA,SS,0,Training
1,9060,61.37,216,686,0,N,No,NA,SS,0,Training
2,16725,35.32,715,0,0,Y,NA,NA,W,0,Training
1,9311,44.57,744,504,404,N,NA,NA,SS,0,Training
1,2436,25.28,625,576,571,Y,No,No,G,0,Training
1,14040,42.06,475,0,0,N,NA,NA,F,0,Training
1,21056,30.1,631,0,0,Y,NA,NA,W,0,Training
4,7721,30.45,1080,811,777,Y,NA,NA,SI,0,Training
1,9420,65.31,595,386,0,N,No,No,SI,0,Training
4,17560,18.32,1287,837,807,Y,NA,NA,W,0,Training
1,21214,33.19,450,0,0,Y,NA,NA,W,0,Training
1,21600,57.24,735,849,0,N,NA,NA,W,0,Training
4,45000,26.87,1325,0,0,Y,NA,NA,NA,0,Training
3,21720,31.08,899,0,0,Y,NA,NA,NA,0,Training
1,23319,25.22,515,0,0,N,NA,NA,W,0,Training
4,11304,22.6,880,350,450,Y,NA,NA,SS,0,Training
6,16800,12.99,1181,1181,1107,N,NA,NA,B,0,Training
2,36333,26.94,826,0,0,Y,NA,NA,W,0,Training
2,21424,21.9,665,0,0,Y,NA,NA,W,0,Training
2,22201,31.44,657,0,0,N,NA,NA,W,0,Training
1,45000,64.2,630,0,0,N,NA,NA,NA,0,Training
1,240,23.86,658,607,584,N,No,NA,NA,0,Training
1,10766,55.58,630,630,598,N,NA,NA,SS,0,Training
3,36792,15.14,899,780,585,N,NA,NA,W,0,Training
1,13008,63.39,419,0,0,N,NA,NA,SS,0,Training
1,13800,58.76,489,185,206,N,NA,NA,SI,0,Training
3,33000,22.42,750,0,0,Y,NA,NA,W,0,Training
1,9036,58.37,515,0,0,Y,No,No,SS,0,Training
1,13800,,575,0,0,N,NA,NA,NA,0,Training
3,36659,11.45,70,573,0,Y,NA,NA,W,0,Training
7,37696,20.07,1300,0,0,Y,No,NA,W,0,Training
1,0,65.79,123,771,0,N,No,No,NA,0,Training
1,8088,60.76,478,0,0,N,NA,NA,SI,0,Training
1,28192,25.76,709,0,0,Y,NA,NA,W,0,Training
1,16626,64.06,640,0,0,N,No,Declined,SS,0,Training
1,480,26.79,575,569,539,Y,NA,NA,N,0,Training
1,17527,31.97,871,334,0,Y,NA,NA,W,0,Training
1,9828,58.81,493,0,0,Y,No,No,SS,0,Training
4,25742,23.65,900,0,0,N,NA,NA,B,0,Training
1,0,24.18,625,408,562,Y,No,No,NA,0,Training
2,29980,39.28,927,0,0,Y,No,NA,W,0,Training
2,13922,22.07,438,0,0,Y,NA,NA,W,0,Training
1,14904,59.61,432,0,0,N,NA,NA,SS,0,Training
1,21485,35.22,662,0,0,Y,NA,NA,W,0,Training
1,14560,33.38,765,519,719,N,NA,NA,W,0,Training
1,1068,51.02,653,592,538,Y,NA,Yes,G,0,Training
1,10902,25.89,450,0,0,Y,NA,NA,SS,0,Training
1,34736,28.5,663,0,0,N,NA,NA,W,0,Training
1,11820,62.99,469,0,0,N,Yes,NA,SS,0,Training
3,24000,26.43,1300,0,0,Y,NA,NA,NA,0,Training
1,21600,60.56,435,0,0,Y,NA,NA,NA,0,Training
1,18772,28.02,593,0,0,N,NA,NA,F,0,Training
1,11544,32.02,407,0,0,N,NA,NA,SI,0,Training
2,6992,27.99,933,553,565,Y,No,NA,SI,0,Training
1,13440,,560,499,499,N,NA,NA,NA,0,Training
3,13001,34.42,1075,799,769,Y,NA,NA,SI,0,Training
1,1104,32.73,779,779,743.4,N,NA,NA,NA,0,Training
5,15158,18.9,850,702,622,N,NA,NA,W,0,Training
4,7490,11.81,1071,1075,0,Y,NA,NA,F,0,Training
4,28800,15.76,944,0,0,N,NA,NA,W,0,Training
2,19055,15.1,711,0,0,Y,NA,NA,N,0,Training
3,22000,19.74,785,0,0,Y,NA,NA,W,0,Training
1,6344,55.42,653,249,425,Y,No,NA,W,0,Training
5,41205,13.19,950,0,0,N,NA,NA,W,0,Training
1,2436,28.41,605,558,558,Y,NA,NA,G,0,Training
1,30996,38.73,910,0,0,N,NA,NA,NA,0,Training
2,11993,60.02,828,0,0,Y,No,No,SS,0,Training
1,2346,35.27,565,565,550,N,NA,NA,NA,0,Training
3,43000,47.54,1060,0,0,Y,NA,NA,NA,0,Training
7,23847,13.25,888,0,0,Y,No,NA,B,0,Training
1,4394,26.26,593,497,497,N,NA,NA,W,0,Training
1,8616,71.09,595,373,0,N,No,No,SS,0,Training
1,40000,31.59,997,0,0,N,NA,NA,NA,0,Training
1,13080,,545,373,387,N,NA,NA,NA,0,Training
2,9768,15.71,830,608,596,N,No,NA,SS,0,Training
1,18720,40.11,450,0,0,N,NA,NA,W,0,Training
2,42360,30.68,1015,0,0,N,NA,NA,NA,0,Training
1,27420,29.76,759,0,0,Y,NA,NA,W,0,Training
1,3180,52.58,720,720,623,N,NA,NA,NA,0,Training
4,51000,53.75,1310,0,0,Y,NA,NA,NA,0,Training
2,96000,63.57,1215,0,0,Y,No,NA,NA,0,Training
1,18654,31.47,578,0,0,Y,No,No,W,0,Training
1,14040,24.59,415,0,0,N,NA,NA,NA,0,Training
1,13738,54.66,877,705,405,Y,NA,NA,W,0,Training
1,10752,59.88,720,84,608,N,NA,NA,NA,0,Training
3,18676,33.22,1004,929,544,Y,NA,NA,W,0,Training
1,1571,61.17,599,538,508,N,NA,NA,N,0,Training
1,29138,74.3,663,0,0,N,NA,NA,SS,0,Training
1,27159,81.22,595,127,0,N,No,NA,SS,0,Training
1,16188,77.08,936,670,0,N,No,NA,SS,0,Training
1,3874,67.85,635,246,343,Y,NA,NA,PE,0,Training
1,40800,34.49,950,0,0,Y,NA,NA,NA,0,Training
2,24960,31.83,570,0,0,N,NA,NA,W,0,Training
1,35000,78.56,918,0,0,Y,NA,NA,NA,0,Training
1,31428,36.37,715,0,0,N,NA,NA,W,0,Training
1,1104,51.71,653,611,556,N,NA,Yes,SS,0,Training
1,11789,49.09,432,0,0,N,Yes,NA,SS,0,Training
1,1128,63.64,606,329,486,N,NA,NA,G,0,Training
3,23821,30.2,1041,0,0,Y,No,NA,W,0,Training
1,26400,28.09,898,0,0,N,No,NA,NA,0,Training
2,68680,53.15,930,0,0,N,NA,NA,NA,0,Training
1,21242,35.65,429,0,0,Y,NA,NA,W,0,Training
1,12000,42.23,425,0,0,Y,NA,NA,NA,0,Training
2,40000,25.01,1260,0,0,N,NA,NA,NA,0,Training
1,13121,47.26,456,0,0,N,NA,NA,NA,0,Training
9,6191,13.29,1049,155,118,Y,No,NA,W,0,Training
1,2436,59.24,766,745,729,N,No,NA,G,0,Training
1,2436,23.27,645,594,584,Y,NA,NA,G,0,Training
1,17455,45.56,813,460.98,447.44,N,NA,Yes,NA,0,Training
1,11296,58.89,422,0,0,N,NA,NA,W,0,Training
1,22706,24.08,450,0,0,Y,NA,NA,W,0,Training
1,10008,67.76,240,311,0,N,NA,Yes,SS,0,Training
1,18625,39.59,615,0,0,Y,No,No,W,0,Training
1,10764,57.99,515,0,0,N,No,No,NA,0,Training
2,23100,16.35,694,0,0,N,NA,NA,W,0,Training
1,26772,57.84,850,115,166,N,NA,NA,W,0,Training
1,16299,39.04,562,0,0,Y,NA,NA,F,0,Training
1,14400,32.1,549,0,0,Y,NA,NA,N,0,Training
2,48000,33.95,1045,0,0,N,NA,NA,NA,0,Training
2,3000,30.16,1170,0,0,Y,NA,NA,NA,0,Training
1,11280,55.27,432,0,0,N,NA,NA,SS,0,Training
1,18252,49.81,510,0,0,Y,Yes,Yes,U,0,Training
2,40800,28.79,1099,0,0,Y,NA,NA,NA,0,Training
2,36360,30.79,708,0,0,N,NA,NA,W,0,Training
1,24600,55.07,570,0,0,Y,NA,NA,W,0,Training
1,15644,29.56,450,0,0,Y,NA,NA,NA,0,Training
1,14891,65.68,817,196,361,Y,NA,NA,W,0,Training
1,96000,46.79,910,0,0,N,NA,NA,NA,0,Training
1,21840,24.36,440,0,0,Y,NA,NA,W,0,Training
1,26274,78.48,807,0,0,N,No,No,SS,0,Training
1,27259,25.45,695,0,0,Y,NA,NA,W,0,Training
1,60000,58.44,770,0,0,N,NA,NA,NA,0,Training
2,28800,,1200,0,0,N,NA,NA,NA,0,Training
1,22880,43.94,850,0,0,N,NA,NA,N,0,Training
1,10308,36.15,420,0,0,N,NA,NA,SS,0,Training
2,32000,38.85,1100,0,0,Y,NA,NA,NA,0,Training
1,18109,52.45,695,0,0,Y,NA,NA,W,0,Training
1,30000,58.05,655,0,0,Y,NA,NA,W,0,Training
3,3205,28.56,950,529,520,N,NA,NA,NA,0,Training
1,8926,47.99,197,722,0,Y,No,Yes,SS,0,Training
1,8796,34.65,704,506,594,Y,No,No,SS,0,Training
2,37938,28.09,975,0,0,N,NA,NA,W,0,Training
1,9060,64.43,169,743,0,N,No,Yes,SI,0,Training
4,50000,31.75,1260,0,0,Y,NA,NA,NA,0,Training
1,2365,31.22,50,468,0,N,NA,NA,G,0,Training
1,19440,36.22,810,648,787,Y,NA,NA,NA,0,Training
1,9960,,415,0,0,N,NA,NA,NA,0,Training
1,18837,24.36,429,0,0,Y,NA,NA,W,0,Training
2,21600,27.92,900,0,0,Y,NA,NA,NA,0,Training
2,35677,26.74,1015,0,0,N,NA,NA,W,0,Training
1,22380,69.25,372,0,0,N,NA,NA,SS,0,Training
1,9602,49.09,405,0,0,N,Yes,NA,SS,0,Training
2,3684,18.09,575,0,0,Y,NA,NA,G,0,Training
1,5496,28.62,454,454,432,N,No,Declined,N,0,Training
1,15146,47.55,430,0,0,N,NA,NA,W,0,Training
1,19512,47.94,813,574.2,559.9,N,No,Yes,NA,0,Training
1,16128,34.22,450,0,0,N,NA,NA,B,0,Training
1,29120,57.43,747,3,63,Y,NA,NA,W,0,Training
1,30353,41.36,700,0,0,N,NA,NA,W,0,Training
5,16746,25.56,980,376,314,Y,NA,NA,W,0,Training
1,1128,43.54,709,648,562,Y,NA,NA,G,0,Training
2,19176,,799,0,0,N,No,NA,NA,0,Training
3,27864,25.35,832,0,0,N,NA,NA,W,0,Training
1,10367,69.96,434,0,0,N,No,NA,SS,0,Training
1,16172,40.74,455,430,487,Y,Yes,Yes,U,0,Training
2,60000,45.1,920,0,0,N,NA,NA,NA,0,Training
1,0,50.07,50,87,87,N,NA,NA,NA,0,Training
1,15842,85.52,570,235,0,N,NA,NA,SS,0,Training
1,2700,63.67,683,606,587,N,Yes,NA,N,0,Training
1,19152,,798,0,0,N,NA,NA,NA,0,Training
1,39949,67.8,663,0,0,N,No,No,SS,0,Training
1,11788,42.58,732,534,510,Y,No,NA,SI,0,Training
3,41676,43.48,1225,0,0,N,NA,NA,NA,0,Training
1,11616,23.49,484,484,484,N,NA,NA,NA,0,Training
1,9660,56.33,675,464,475,Y,NA,NA,SI,0,Training
1,10440,,435,0,0,N,NA,NA,NA,0,Training
1,10272,48.83,432,0,0,Y,Yes,NA,SS,0,Training
1,9763,68.65,655,409,417,N,NA,NA,SI,0,Training
3,27040,40.71,683,0,0,N,NA,NA,NA,0,Training
2,16800,25.55,985,0,0,N,Yes,NA,NA,0,Training
1,20640,84.22,860,0,0,N,No,No,NA,0,Training
3,16200,28.83,750,0,0,Y,NA,NA,NA,0,Training
3,19712,20.56,832,183,565,Y,NA,NA,W,0,Training
2,36000,30.67,870,0,0,Y,NA,NA,NA,0,Training
1,13689,32.45,431,0,0,Y,No,No,W,0,Training
6,12303,30.72,928,45,891,Y,NA,NA,B,0,Training
1,22429,51.19,435,0,0,N,NA,NA,W,0,Training
1,17016,,709,0,0,N,NA,NA,NA,0,Training
1,27033,51.14,460,0,0,N,NA,NA,W,0,Training
1,2436,58.22,451,451,441,N,No,No,G,0,Training
2,36396,45.87,960,0,0,Y,NA,NA,NA,0,Training
2,11328,33.46,978,793,727,Y,NA,NA,SS,0,Training
3,32400,37.62,1240,0,0,N,NA,NA,NA,0,Training
1,17618,34.06,438,0,0,Y,NA,NA,NA,0,Training
1,25948,32.51,766,0,0,Y,NA,NA,W,0,Training
1,19871,24.81,666,0,0,N,No,NA,W,0,Training
1,18007,41.71,415,0,0,Y,NA,NA,F,0,Training
1,27794,24.29,495,0,0,Y,NA,NA,W,0,Training
1,2436,61.47,723,468,599,N,No,NA,G,0,Training
1,240,21.8,645,55,498,Y,NA,NA,N,0,Training
2,28800,,1200,0,0,N,NA,NA,NA,0,Training
1,14079,26.06,612,377,402,Y,NA,NA,W,0,Training
1,10272,,428,0,0,N,NA,NA,NA,0,Training
1,14040,52.41,455,0,0,Y,No,No,W,0,Training
1,12000,67.64,460,0,0,Y,Yes,NA,NA,0,Training
1,19234,87.37,663,0,0,N,NA,NA,SS,0,Training
1,21600,,900,0,0,N,NA,NA,NA,0,Training
3,35324,19.03,695,500,500,Y,NA,NA,W,0,Training
1,51000,51.74,950,0,0,N,NA,NA,NA,0,Training
1,3168,66.25,720,84,23,Y,NA,NA,NA,0,Training
1,2436,46.86,670,0,0,Y,No,Yes,G,0,Training
1,8328,50.07,461,0,0,N,NA,NA,SS,0,Training
3,12423,23.46,625,0,0,Y,NA,NA,W,0,Training
1,2436,42.16,885,693,0,N,NA,NA,G,0,Training
1,14688,35.76,704,0,0,Y,No,Declined,SS,0,Training
1,15648,38.45,405,0,0,N,NA,NA,N,0,Training
1,9060,51.34,810,589,620,N,No,NA,SS,0,Training
6,8391,21.77,862,0,0,N,NA,NA,T,0,Training
1,17392,33.46,429,0,0,N,NA,NA,W,0,Training
1,29575,32.41,405,0,0,N,NA,NA,W,0,Training
2,18456,,769,0,0,Y,NA,NA,NA,0,Training
1,14430,51.19,509,0,0,Y,No,NA,W,0,Training
1,0,46.25,850,602,582,N,No,Yes,NA,0,Training
2,18456,,769,0,0,Y,NA,NA,NA,0,Training
1,16220,28.47,438,0,0,N,NA,NA,W,0,Training
1,18288,33.49,762,592,755,N,NA,NA,NA,0,Training
1,42000,28.7,852,0,0,Y,NA,NA,NA,0,Training
1,27040,46.87,505,0,0,Y,Yes,NA,W,0,Training
3,6966,23.82,633,0,0,N,NA,NA,SS,0,Training
1,6840,60.13,450,450,450,N,NA,NA,N,0,Training
1,11280,,470,0,0,Y,NA,NA,NA,0,Training
1,3912,63.08,645,645,645,N,NA,NA,N,0,Training
1,3000,20.83,635,570,558,Y,NA,NA,G,0,Training
1,10800,46.02,450,450,450,N,NA,NA,NA,0,Training
1,18216,,759,0,0,N,NA,NA,NA,0,Training
1,18312,,763,536.5,514.5,N,NA,NA,NA,0,Training
1,9348,47.74,620,410,403,Y,NA,NA,SS,0,Training
1,21174,66.4,683,217,233,N,NA,NA,SS,0,Training
1,8088,63.7,405,0,0,Y,NA,NA,SI,0,Training
1,4450,23.59,623,583,544,Y,NA,NA,G,0,Training
1,30000,34.28,950,0,0,N,NA,NA,NA,0,Training
1,3528,52.24,720,182,623,N,No,Yes,NA,0,Training
1,22081,28.26,663,0,0,N,NA,NA,W,0,Training
1,13080,,545,0,0,N,NA,NA,NA,0,Training
1,13080,,545,0,0,N,NA,NA,NA,0,Training
1,22880,57.46,429,0,0,Y,NA,NA,F,0,Training
1,600,24.01,625,562,549,Y,NA,NA,N,0,Training
1,2364,67.36,585,608,608,N,NA,NA,NA,0,Training
1,11374,37.48,430,0,0,N,NA,NA,NA,0,Training
1,35192,37.07,428,0,0,Y,No,NA,W,0,Training
1,18720,27.4,425,0,0,N,NA,NA,F,0,Training
1,36000,38.75,815,0,0,N,NA,NA,NA,0,Training
1,28640,33.76,663,0,0,N,NA,NA,W,0,Training
1,24000,55.38,456,0,0,Y,NA,NA,NA,0,Training
1,9036,52.18,216,227,0,N,No,Yes,SS,0,Training
1,27600,,1150,0,0,N,NA,NA,NA,0,Training
3,29734,31.82,937,0,0,Y,NA,NA,W,0,Training
2,49992,33.2,1265,0,0,N,NA,NA,NA,0,Training
1,9060,59.18,537,0,0,Y,NA,NA,SI,0,Training
1,7864,43.1,394,0,0,N,NA,NA,SI,0,Training
1,21840,28.13,540,0,0,N,NA,NA,F,0,Training
2,114996,37.34,1180,0,0,N,NA,NA,NA,0,Training
1,3900,41.47,515,0,0,N,NA,NA,N,0,Training
1,22000,30.91,900,0,0,N,NA,NA,NA,0,Training
1,24600,75.59,1100,355,331,Y,NA,NA,NA,0,Training
1,13920,,580,0,0,N,NA,NA,NA,0,Training
1,600,26.15,612,582,562,Y,NA,NA,N,0,Training
4,25760,21,777,286,0,N,NA,NA,W,0,Training
1,7596,23.27,500,125,125,Y,NA,NA,W,0,Training
1,16463,82.78,595,330,0,N,NA,NA,SS,0,Training
1,8280,56.21,478,0,0,N,NA,NA,SS,0,Training
1,23724,28.89,610,0,0,N,NA,NA,W,0,Training
1,36096,34.76,675,0,0,N,NA,NA,NA,0,Training
1,2436,61.65,441,441,441,N,NA,NA,G,0,Training
1,3528,53.43,720,720,623,N,No,Yes,NA,0,Training
1,8087,69.33,910,277,277,Y,NA,NA,SS,0,Training
1,3593,25.33,612,337,566,Y,NA,NA,W,0,Training
1,972,56.11,653,273,549,Y,NA,NA,G,0,Training
1,21171,29.93,580,0,0,N,NA,NA,W,0,Training
1,22926,47.51,438,0,0,Y,No,No,W,0,Training
1,25381,28.55,470,0,0,N,NA,NA,W,0,Training
1,25460,31.32,631,0,0,N,NA,NA,W,0,Training
2,31080,20.86,714,0,0,N,NA,NA,W,0,Training
1,19512,32.91,813,586.5,509.9,Y,No,Yes,NA,0,Training
3,12804,21.56,848,484,522,Y,NA,NA,W,0,Training
1,19971,22.96,570,0,0,Y,NA,NA,W,0,Training
3,32010,21.71,832,0,0,N,NA,NA,W,0,Training
6,2436,11.74,1143,301,0,Y,No,NA,G,0,Training
1,18929,47.59,422,0,0,N,NA,NA,W,0,Training
1,6829,32.22,750,620,620,N,NA,NA,W,0,Training
2,14307,43.42,575,0,0,N,NA,NA,W,0,Training
1,20640,90,860,0,0,N,NA,No,NA,0,Training
2,4680,17.88,810,738,685,Y,NA,NA,G,0,Training
1,11820,69.72,628,326,283,N,Yes,NA,PE,0,Training
1,16296,,679,0,0,N,NA,NA,NA,0,Training
1,46176,50.22,930,0,0,N,NA,NA,NA,0,Training
1,20202,25.42,470,0,0,Y,NA,NA,W,0,Training
1,3540,34.75,700,64,700,N,NA,NA,NA,0,Training
2,26961,24.39,631,0,0,N,NA,NA,W,0,Training
1,3168,32.91,623,623,623,N,NA,NA,NA,0,Training
1,2436,51.44,744,509,646,N,No,NA,G,0,Training
2,12149,58.21,740,0,0,Y,NA,NA,W,0,Training
7,11880,17.92,975,605,873,Y,NA,NA,NA,0,Training
1,27271,34.64,423,0,0,N,NA,NA,W,0,Training
1,27000,55.08,799,0,0,N,NA,NA,NA,0,Training
1,2436,55.64,608,68.8,608,N,NA,NA,NA,0,Training
1,7759,43.1,712,565,531,Y,NA,NA,SI,0,Training
2,22093,26.28,698,0,0,Y,No,NA,W,0,Training
2,17191,65.15,900,0,0,Y,NA,NA,W,0,Training
3,18491,25.83,796,0,0,Y,NA,NA,W,0,Training
1,7999,56.89,411,0,0,N,NA,NA,SI,0,Training
1,28667,31.7,546,0,0,Y,NA,NA,W,0,Training
1,19792,31.59,675,0,0,Y,NA,NA,W,0,Training
1,26627,58,474,0,0,Y,NA,Declined,W,0,Training
2,195578,47.32,1030,0,0,N,NA,NA,NA,0,Training
1,24000,32.09,593,0,0,N,NA,NA,W,0,Training
1,11220,50.75,448,0,0,Y,No,No,SI,0,Training
4,16875,27.39,780,0,0,Y,No,NA,W,0,Training
2,27322,32.85,599,0,0,Y,No,NA,W,0,Training
1,19015,46.62,450,0,0,N,NA,NA,W,0,Training
2,24000,26.7,1225,0,0,Y,NA,NA,NA,0,Training
1,10440,66.18,653,379,348,N,No,Yes,SS,0,Training
2,32400,39.43,1350,0,0,N,NA,NA,NA,0,Training
1,1104,52.41,652,591,590,Y,NA,NA,G,0,Training
1,2436,61.16,638,588,578,N,NA,NA,G,0,Training
2,42000,32.28,995,0,0,N,Yes,NA,NA,0,Training
1,29536,54.68,438,0,0,Y,NA,NA,NA,0,Training
1,8760,66.58,500,281,250,Y,No,Yes,SS,0,Training
3,27523,28.51,631,0,0,Y,NA,NA,W,0,Training
1,2436,25.01,625,625,374,Y,NA,NA,G,0,Training
1,3792,58.41,441,645,645,N,NA,NA,N,0,Training
1,27560,35.76,494,0,0,Y,NA,NA,W,0,Training
1,19680,,820,0,0,N,NA,NA,NA,0,Training
1,8840,24.21,625,425,410,N,NA,NA,W,0,Training
2,21600,26.66,870,0,0,N,NA,NA,NA,0,Training
1,24547,56.33,429,0,0,Y,NA,NA,W,0,Training
6,8022,14.04,901,855,736,N,NA,NA,W,0,Training
5,8736,18.49,848,719,502,Y,NA,NA,U,0,Training
1,19200,38.17,815,0,0,N,NA,NA,NA,0,Training
1,13080,,545,0,0,N,NA,NA,NA,0,Training
1,39600,38.27,750,0,0,N,NA,NA,NA,0,Training
1,3600,41.19,895,0,0,Y,NA,NA,B,0,Training
6,8442,15.34,795,0,0,N,NA,NA,G,0,Training
1,3936,45.63,631,631,631,N,NA,NA,N,0,Training
1,11385,55.62,828,544,522,N,NA,NA,SS,0,Training
1,8712,42.22,499,0,0,Y,NA,NA,SS,0,Training
1,2436,57.24,607,398,502,N,NA,NA,G,0,Training
1,27168,,1132,1132,1132,N,NA,NA,NA,0,Training
1,25527,53.6,430,0,0,N,NA,NA,W,0,Training
1,21000,35.22,415,0,0,N,NA,NA,NA,0,Training
2,28800,,1200,0,0,Y,NA,NA,NA,0,Training
1,18696,,779,0,0,N,NA,NA,NA,0,Training
1,4080,59.9,657,657,631,N,NA,NA,N,0,Training
1,15015,30.88,655,0,0,Y,NA,NA,W,0,Training
1,1212,51.96,550,550,550,N,NA,NA,NA,0,Training
1,9552,53.22,478,366,366,N,No,Yes,SS,0,Training
1,2436,26.22,635,595,558,Y,NA,NA,G,0,Training
5,23734,20.18,910,508,0,Y,NA,NA,W,0,Training
2,10896,33.2,884,683,699,Y,NA,NA,SI,0,Training
2,25080,28.25,1045,0,0,Y,NA,NA,NA,0,Training
2,5244,16.45,819,657,650,Y,NA,NA,G,0,Training
1,70350,26.86,900,0,0,N,NA,NA,NA,0,Training
2,25500,66.28,1019,0,0,N,NA,NA,NA,0,Training
1,10393,52.07,382,0,0,N,NA,NA,SI,0,Training
1,27040,24.38,510,0,0,N,NA,NA,W,0,Training
1,2436,41.12,550,550,550,N,NA,NA,NA,0,Training
1,8376,70.13,626,449,449,Y,NA,NA,SI,0,Training
2,6630,63.54,595,294,0,N,NA,NA,SS,0,Training
1,16877,51.99,520,0,0,Y,NA,NA,F,0,Training
1,8520,54.36,718,606,500,Y,Yes,NA,SI,0,Training
2,24480,,1020,0,0,N,NA,NA,NA,0,Training
1,12500,42.23,399,0,0,N,NA,NA,NA,0,Training
1,2436,50.02,653,443,567,N,NA,NA,G,0,Training
1,10632,,443,0,0,N,NA,NA,NA,0,Training
1,8088,50.14,478,0,0,N,NA,NA,SI,0,Training
2,11700,20.87,440,0,0,Y,NA,NA,W,0,Training
1,2436,55.43,712,664,560,Y,NA,NA,NA,0,Training
2,48810,36.65,920,0,0,N,NA,NA,NA,0,Training
1,23920,38.14,685,0,0,Y,NA,NA,W,0,Training
8,17680,14.5,1147,1072,895,N,NA,NA,W,0,Training
1,20351,73.07,663,0,0,N,NA,NA,SS,0,Training
1,14352,,598,569,538,N,NA,NA,NA,0,Training
4,10971,40.75,860,0,0,Y,NA,NA,N,0,Training
1,2635,53.58,650,650,625,N,NA,NA,NA,0,Training
1,23712,33.13,599,0,0,N,No,NA,W,0,Training
1,0,29.32,620,620,423,N,NA,NA,NA,0,Training
1,30000,,1250,0,0,N,NA,NA,NA,0,Training
3,13165,46.56,1016,199,626,N,NA,NA,W,0,Training
1,9324,32.26,480,0,0,N,NA,NA,F,0,Training
1,8856,63.34,579,327,221,N,NA,NA,SS,0,Training
1,10920,59.75,407,155,155,N,NA,NA,W,0,Training
1,10211,74.47,663,0,0,N,No,No,SS,0,Training
2,57336,77.51,789,0,0,N,Yes,NA,NA,0,Training
1,33613,55.84,655,0,0,N,NA,NA,W,0,Training
1,14560,42.23,450,0,0,Y,NA,NA,NA,0,Training
2,5244,19.43,751,665,630,N,NA,NA,G,0,Training
5,6171,27.42,1112,0,0,N,NA,NA,N,0,Training
1,13000,52.68,450,0,0,N,NA,NA,W,0,Training
1,1212,60.88,606,545,478,Y,NA,NA,G,0,Training
1,540,58.38,817,817,750,Y,NA,NA,N,0,Training
1,30598,30.67,906,0,0,Y,No,NA,W,0,Training
1,3168,47.97,623,623,623,N,NA,NA,NA,0,Training
1,11820,40.22,810,494,596,Y,NA,NA,B,0,Training
1,21682,71.18,634,0,0,N,Yes,NA,SS,0,Training
1,60000,34.67,977,0,0,Y,NA,NA,NA,0,Training
4,10124,16.46,995,920,618,Y,NA,NA,W,0,Training
1,19084,38.39,1149,963,828,N,NA,NA,U,0,Training
1,4724,29.32,612,156,562,Y,NA,NA,W,0,Training
3,57000,,1220,0,0,Y,NA,NA,NA,0,Training
1,13572,33.53,470,0,0,Y,NA,NA,NA,0,Training
5,11663,42.09,1180,595,595,N,NA,NA,W,0,Training
2,14720,18.72,460,0,0,N,NA,NA,F,0,Training
1,1068,63.72,623,623,608,N,NA,NA,NA,0,Training
1,23504,54.01,488,0,0,Y,No,Yes,B,0,Training
1,1104,53.24,672,603,566,Y,No,Yes,G,0,Training
1,23338,59.47,456,0,0,Y,NA,NA,W,0,Training
4,17400,24.18,725,0,0,N,NA,NA,NA,0,Training
2,8787,44.23,723,517,535,N,NA,NA,SI,0,Training
1,47000,61.96,830,0,0,N,NA,NA,NA,0,Training
3,19418,23.56,960,430,430,Y,Yes,NA,CS,0,Training
1,21938,47.88,672,0,0,Y,No,No,F,0,Training
1,18504,,771,537.3,646.1,N,NA,NA,NA,0,Training
1,2436,61.64,623,623,608,N,NA,NA,NA,0,Training
1,20800,34.65,520,0,0,N,NA,NA,W,0,Training
1,22724,29.48,429,0,0,N,NA,NA,W,0,Training
1,8616,39.32,615,0,0,Y,NA,NA,SS,0,Training
2,29640,36.64,1235,0,0,Y,NA,NA,NA,0,Training
3,15392,25.06,806,806,0,N,NA,NA,W,0,Training
1,2436,63.37,550,550,550,N,NA,NA,NA,0,Training
1,8400,28.92,890,0,0,Y,NA,NA,NA,0,Training
2,5500,45.01,1314,486,1250,Y,NA,NA,B,0,Training
1,12714,31.29,385,0,0,N,NA,NA,F,0,Training
2,240000,37.57,1200,0,0,N,NA,NA,NA,0,Training
2,11600,55.24,631,0,0,Y,NA,NA,F,0,Training
1,24000,61.44,621,0,0,Y,NA,NA,B,0,Training
